ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,neighborhood
11823975,JC428131,09/10/2019 08:00:00 PM,046XX S LEAMINGTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,814,8,22,56,08B,1142808.0,1873333.0,2019,09/17/2019 03:49:10 PM,41.808469,-87.751739838,"(41.808469, -87.751739838)",Garfield Ridge
11824151,JC428197,09/10/2019 08:00:00 PM,002XX N RACINE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1215,12,27,28,06,1168465.0,1901722.0,2019,09/17/2019 03:49:10 PM,41.885855984,-87.656815142,"(41.885855984, -87.656815142)",West Loop
11824521,JC428612,09/10/2019 08:00:00 PM,082XX S SANGAMON ST,0820,THEFT,$500 AND UNDER,STREET,False,False,613,6,21,71,06,1171415.0,1850098.0,2019,09/17/2019 03:49:10 PM,41.744130256,-87.647495212,"(41.744130256, -87.647495212)",Auburn Gresham
11825168,JC429173,09/10/2019 08:00:00 PM,031XX W 37TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,911,9,12,58,05,1156080.0,1879580.0,2019,09/17/2019 03:49:10 PM,41.825354803,-87.702892538,"(41.825354803, -87.702892538)",Brighton Park
11824485,JC428712,09/10/2019 08:00:00 PM,058XX W IOWA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1511,15,29,25,14,1137303.0,1905408.0,2019,09/17/2019 03:49:10 PM,41.896587964,-87.771161118,"(41.896587964, -87.771161118)",Austin
11824084,JC428227,09/10/2019 08:00:00 PM,061XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,APARTMENT,True,True,311,3,20,40,08A,1179974.0,1864409.0,2019,09/07/2021 03:41:02 PM,41.783209684,-87.615696882,"(41.783209684, -87.615696882)",Woodlawn
11825528,JC429987,09/10/2019 08:00:00 PM,009XX W MONTANA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1932,19,43,7,07,1169691.0,1916496.0,2019,09/17/2019 03:49:10 PM,41.926370101,-87.651882042,"(41.926370101, -87.651882042)",Sheffield & DePaul
12201592,JD408758,09/10/2019 07:55:00 PM,014XX N LOCKWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,2532,25,37,25,11,,,2019,10/24/2020 03:42:25 PM,,,,
11828456,JC428132,09/10/2019 07:50:00 PM,025XX S ARCHER AVE,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,913,9,11,60,08B,1171170.0,1887518.0,2019,09/18/2019 03:41:04 PM,41.846820192,-87.647298713,"(41.846820192, -87.647298713)",Bridgeport
11824844,JC428113,09/10/2019 07:50:00 PM,087XX S COTTAGE GROVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,GAS STATION,False,False,632,6,8,44,14,1183086.0,1847385.0,2019,09/17/2019 03:49:10 PM,41.736422269,-87.604815966,"(41.736422269, -87.604815966)",Chatham
