trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,start_neighborhood,end_neighborhood
4795834,2015,4,15,0,19,Subscriber,Male,2015-04-06 19:14:00,2015-04-06 19:17:00,3.4166666666666665,39.9,cloudy,94,Clark St & Armitage Ave,41.918306,-87.636282,19.0,289,Wells St & Concord Ln,41.912202,-87.634664,19.0,Old Town,Old Town
3528801,2014,9,37,1,18,Subscriber,Male,2014-09-09 18:04:00,2014-09-09 18:19:00,15.4,75.0,cloudy,212,Wells St & Hubbard St,41.889933,-87.63426199999998,19.0,144,Larrabee St & Webster Ave,41.92175,-87.64401,15.0,River North,Lincoln Park
8883720,2016,3,10,1,13,Subscriber,Male,2016-03-08 13:50:00,2016-03-08 13:52:00,2.55,69.1,cloudy,302,Sheffield Ave & Wrightwood Ave,41.928712,-87.65383299999998,19.0,87,Racine Ave & Fullerton Ave,41.925563,-87.658404,19.0,Sheffield & DePaul,Sheffield & DePaul
6504794,2015,7,31,0,8,Subscriber,Male,2015-07-27 08:39:00,2015-07-27 08:47:00,7.383333333333334,79.0,cloudy,52,Michigan Ave & Lake St,41.886024,-87.624117,31.0,100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23.0,Loop,River North
2720142,2014,7,30,1,14,Subscriber,Male,2014-07-22 14:34:00,2014-07-22 14:42:00,7.9,89.1,cloudy,164,Franklin St & Lake St,41.885837,-87.6355,23.0,52,Michigan Ave & Lake St,41.886024,-87.624117,23.0,Loop,Loop
14101442,2017,5,20,6,14,Subscriber,Male,2017-05-21 14:12:07,2017-05-21 14:36:49,24.7,59.0,cloudy,157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15.0,454,Broadway & Granville Ave,41.9947796884,-87.6602845349,15.0,Lake View,Edgewater
14173487,2017,5,21,5,7,Subscriber,Female,2017-05-27 07:06:22,2017-05-27 07:16:52,10.5,57.0,cloudy,374,Western Ave & Walton St,41.89841768945,-87.68659601639999,15.0,16,Paulina Ave & North Ave,41.910337,-87.67007199999998,15.0,Ukrainian Village,Wicker Park
4702851,2015,3,13,2,17,Subscriber,Male,2015-03-25 17:32:00,2015-03-25 17:49:00,17.783333333333335,41.0,cloudy,49,Dearborn St & Monroe St,41.88131982,-87.62952092,27.0,168,Michigan Ave & 14th St,41.86405900000001,-87.623727,19.0,Loop,Near South Side
7526655,2015,9,38,4,13,Subscriber,Female,2015-09-18 13:11:00,2015-09-18 13:19:00,7.25,73.0,cloudy,110,Dearborn St & Erie St,41.893992,-87.62931800000001,23.0,44,State St & Randolph St,41.8847302,-87.62773357,27.0,River North,Loop
10087424,2016,6,24,1,7,Subscriber,Male,2016-06-14 07:47:00,2016-06-14 07:53:00,5.533333333333333,70.0,cloudy,174,Canal St & Madison St,41.882091,-87.639833,27.0,283,LaSalle St & Jackson Blvd,41.87817,-87.631985,31.0,West Loop,Loop
